NC_035780.1	15534531	15534533	54
NC_035780.1	39872841	39872843	52
NC_035780.1	55852212	55852214	58
NC_035780.1	58135767	58135769	74
NC_035780.1	60587461	60587463	-74
NC_035781.1	3401688	3401690	50
NC_035781.1	20620123	20620125	57
NC_035781.1	24474567	24474569	53
NC_035781.1	30062222	30062224	60
NC_035781.1	31150010	31150012	53
NC_035781.1	39583208	39583210	-50
NC_035781.1	50711254	50711256	-71
NC_035782.1	6685310	6685312	-50
NC_035782.1	6685343	6685345	-68
NC_035782.1	6685349	6685351	-50
NC_035782.1	6897406	6897408	-53
NC_035782.1	58675230	58675232	52
NC_035782.1	65377028	65377030	51
NC_035783.1	26360833	26360835	65
NC_035783.1	41484688	41484690	-59
NC_035783.1	45068802	45068804	52
NC_035783.1	50075652	50075654	-52
NC_035784.1	2011997	2011999	-60
NC_035784.1	42036908	42036910	56
NC_035784.1	45667412	45667414	56
NC_035784.1	52291763	52291765	59
NC_035784.1	53515949	53515951	50
NC_035784.1	79841166	79841168	51
NC_035784.1	81666532	81666534	-65
NC_035784.1	92841543	92841545	-56
NC_035785.1	17356834	17356836	58
NC_035785.1	31238802	31238804	59
NC_035786.1	14799931	14799933	-64
NC_035787.1	42603398	42603400	57
NC_035787.1	42755937	42755939	-54
NC_035787.1	44016221	44016223	70
NC_035787.1	55930618	55930620	52
NC_035787.1	64479021	64479023	61
NC_035788.1	78353418	78353420	-75
