NC_035780.1	401630	401632	53	NC_035780.1	401605	401801
NC_035780.1	1882691	1882693	64	NC_035780.1	1882356	1882972
NC_035780.1	1885022	1885024	61	NC_035780.1	1884755	1886043
NC_035780.1	1933499	1933501	51	NC_035780.1	1932877	1933574
NC_035780.1	2584492	2584494	56	NC_035780.1	2584154	2584505
NC_035780.1	8833124	8833126	60	NC_035780.1	8832172	8833700
NC_035780.1	15414934	15414935	51	NC_035780.1	15414677	15414935
NC_035780.1	27396182	27396184	52	NC_035780.1	27396141	27396707
NC_035780.1	32766797	32766799	58	NC_035780.1	32766347	32769865
NC_035780.1	38236493	38236495	50	NC_035780.1	38236122	38236507
NC_035781.1	275904	275906	53	NC_035781.1	275742	275932
NC_035781.1	22439769	22439771	53	NC_035781.1	22437654	22442959
NC_035781.1	28525219	28525221	50	NC_035781.1	28524795	28526637
NC_035781.1	29126963	29126965	51	NC_035781.1	29126707	29127030
NC_035781.1	29385292	29385294	56	NC_035781.1	29385274	29385360
NC_035781.1	37444181	37444183	56	NC_035781.1	37442452	37444493
NC_035781.1	43382430	43382432	52	NC_035781.1	43382264	43382468
NC_035781.1	47215727	47215729	52	NC_035781.1	47214787	47215756
NC_035781.1	49000882	49000884	61	NC_035781.1	49000125	49007860
NC_035781.1	53358699	53358701	56	NC_035781.1	53358684	53358815
NC_035781.1	56296256	56296258	63	NC_035781.1	56294748	56296313
NC_035781.1	59274911	59274913	61	NC_035781.1	59274799	59275119
NC_035781.1	59698879	59698881	66	NC_035781.1	59697566	59698977
NC_035782.1	4729348	4729350	55	NC_035782.1	4727998	4730318
NC_035782.1	29760016	29760018	50	NC_035782.1	29759254	29763759
NC_035782.1	45857195	45857197	52	NC_035782.1	45855583	45860249
NC_035782.1	46793650	46793652	58	NC_035782.1	46792994	46796370
NC_035782.1	48662582	48662584	60	NC_035782.1	48662565	48665981
NC_035782.1	53693367	53693369	61	NC_035782.1	53692395	53693700
NC_035782.1	61203970	61203972	51	NC_035782.1	61203445	61205608
NC_035782.1	63438236	63438238	68	NC_035782.1	63437800	63438947
NC_035783.1	4336100	4336102	63	NC_035783.1	4334086	4337129
NC_035783.1	16217946	16217948	53	NC_035783.1	16217720	16218953
NC_035783.1	17850324	17850326	54	NC_035783.1	17842001	17852475
NC_035783.1	19545473	19545475	50	NC_035783.1	19545463	19545679
NC_035783.1	20710045	20710047	61	NC_035783.1	20709029	20712132
NC_035783.1	20710063	20710065	61	NC_035783.1	20709029	20712132
NC_035783.1	20710091	20710093	83	NC_035783.1	20709029	20712132
NC_035783.1	20844034	20844036	70	NC_035783.1	20843817	20844079
NC_035783.1	21076506	21076508	50	NC_035783.1	21076504	21077493
NC_035783.1	23130125	23130127	53	NC_035783.1	23124980	23130970
NC_035783.1	29749414	29749416	57	NC_035783.1	29748542	29749850
NC_035783.1	30386525	30386527	52	NC_035783.1	30385895	30390264
NC_035783.1	36262747	36262749	57	NC_035783.1	36261737	36262823
NC_035783.1	46125338	46125340	51	NC_035783.1	46124928	46126967
NC_035783.1	47273229	47273231	56	NC_035783.1	47263912	47279728
NC_035783.1	57926772	57926774	65	NC_035783.1	57926424	57927008
NC_035783.1	57931740	57931742	50	NC_035783.1	57931500	57931842
NC_035784.1	3040122	3040124	50	NC_035784.1	3039328	3042932
NC_035784.1	3631155	3631157	50	NC_035784.1	3630578	3632231
NC_035784.1	7656220	7656222	54	NC_035784.1	7656205	7656289
NC_035784.1	14145239	14145241	54	NC_035784.1	14134754	14148381
NC_035784.1	21869174	21869176	51	NC_035784.1	21868913	21882854
NC_035784.1	26800339	26800341	66	NC_035784.1	26799173	26800657
NC_035784.1	32778719	32778721	51	NC_035784.1	32777180	32779219
NC_035784.1	49941160	49941162	52	NC_035784.1	49941090	49943072
NC_035784.1	49990876	49990878	51	NC_035784.1	49990847	49991348
NC_035784.1	50724127	50724129	53	NC_035784.1	50723781	50724983
NC_035784.1	52580950	52580952	50	NC_035784.1	52580718	52581028
NC_035784.1	52601240	52601242	51	NC_035784.1	52600946	52602134
NC_035784.1	53283228	53283230	55	NC_035784.1	53282923	53283308
NC_035784.1	55379466	55379468	57	NC_035784.1	55375706	55381417
NC_035784.1	61728078	61728080	58	NC_035784.1	61727660	61728375
NC_035784.1	76218382	76218384	63	NC_035784.1	76217989	76218546
NC_035784.1	79293414	79293416	55	NC_035784.1	79290557	79294668
NC_035784.1	81784751	81784753	51	NC_035784.1	81784746	81785266
NC_035784.1	87874188	87874190	52	NC_035784.1	87867722	87875477
NC_035784.1	94932867	94932869	51	NC_035784.1	94930503	94936010
NC_035784.1	96552800	96552802	50	NC_035784.1	96552759	96553077
NC_035785.1	12703931	12703933	56	NC_035785.1	12703921	12704423
NC_035785.1	14156207	14156208	64	NC_035785.1	14155236	14156208
NC_035786.1	8624213	8624215	60	NC_035786.1	8623813	8624264
NC_035786.1	40104348	40104350	62	NC_035786.1	40104175	40104740
NC_035786.1	42612849	42612851	56	NC_035786.1	42610993	42616737
NC_035787.1	26805833	26805835	67	NC_035787.1	26804535	26805841
NC_035787.1	36929767	36929769	58	NC_035787.1	36880042	36931223
