NC_035780.1	55484028	55485028	NC_035780.1	55484705	55484707	-52	2
NC_035780.1	55484028	55485028	NC_035780.1	55484705	55484707	-52	2
NC_035781.1	7626060	7627060	NC_035781.1	7626510	7626512	-56	2
NC_035781.1	7626070	7627070	NC_035781.1	7626510	7626512	-56	2
NC_035781.1	30789563	30790563	NC_035781.1	30789623	30789625	-57	2
NC_035782.1	6684983	6685983	NC_035782.1	6685343	6685345	-68	2
NC_035782.1	6684983	6685983	NC_035782.1	6685349	6685351	-50	2
NC_035782.1	6897189	6898189	NC_035782.1	6897406	6897408	-53	2
NC_035782.1	72204997	72205997	NC_035782.1	72205396	72205398	-55	2
NC_035782.1	72204997	72205997	NC_035782.1	72205396	72205398	-55	2
NC_035783.1	11163297	11164297	NC_035783.1	11164219	11164221	-62	2
NC_035783.1	50075390	50076390	NC_035783.1	50075652	50075654	-52	2
NC_035784.1	52581146	52582146	NC_035784.1	52581362	52581364	-72	2
NC_035784.1	52581146	52582146	NC_035784.1	52581683	52581685	-59	2
NC_035784.1	52581146	52582146	NC_035784.1	52581362	52581364	-72	2
NC_035784.1	52581146	52582146	NC_035784.1	52581683	52581685	-59	2
NC_035784.1	92840546	92841546	NC_035784.1	92841543	92841545	-56	2
NC_035785.1	32528826	32529826	NC_035785.1	32529155	32529157	-50	2
NC_035785.1	32528826	32529826	NC_035785.1	32529155	32529157	-50	2
NC_035785.1	32528826	32529826	NC_035785.1	32529155	32529157	-50	2
NC_035785.1	32528827	32529827	NC_035785.1	32529155	32529157	-50	2
NC_035787.1	55630393	55631393	NC_035787.1	55630869	55630871	-59	2
NC_035787.1	59437238	59438238	NC_035787.1	59437352	59437354	-58	2
