NC_035780.1	8833124	8833126	NC_035780.1	8833124	8833126	60
NC_035780.1	58135767	58135769	NC_035780.1	58135767	58135769	74
NC_035781.1	31150010	31150012	NC_035781.1	31150010	31150012	53
NC_035782.1	4729348	4729350	NC_035782.1	4729348	4729350	55
NC_035782.1	4729348	4729350	NC_035782.1	4729348	4729350	55
NC_035783.1	19545473	19545475	NC_035783.1	19545473	19545475	50
NC_035783.1	45068802	45068804	NC_035783.1	45068802	45068804	52
NC_035783.1	57931740	57931742	NC_035783.1	57931740	57931742	50
NC_035784.1	26800339	26800341	NC_035784.1	26800339	26800341	66
NC_035784.1	57514692	57514694	NC_035784.1	57514692	57514694	53
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035785.1	17356834	17356836	NC_035785.1	17356834	17356836	58
NC_035786.1	33053638	33053640	NC_035786.1	33053638	33053640	50
NC_035787.1	47281092	47281094	NC_035787.1	47281092	47281094	50
NC_035787.1	55930618	55930620	NC_035787.1	55930618	55930620	52
NC_035787.1	55930618	55930620	NC_035787.1	55930618	55930620	52
NC_035787.1	55930618	55930620	NC_035787.1	55930618	55930620	52
NC_035787.1	55930618	55930620	NC_035787.1	55930618	55930620	52
NC_035787.1	55930618	55930620	NC_035787.1	55930618	55930620	52
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
NC_035787.1	72590356	72590358	NC_035787.1	72590356	72590358	63
