"","chr","start","end","strand","pvalue","qvalue","meth.diff"
"9029","NC_035780.1",38235501,38236500,"*",4.43031326865253e-17,1.87653431670199e-15,51.2234042553192
"12718","NC_035780.1",55498501,55499500,"*",5.18293661001429e-19,2.85198988506121e-17,-70.5399276827848
"18607","NC_035781.1",7626501,7627500,"*",1.32990883032658e-10,1.96554164589163e-09,-50.156678417548
"30092","NC_035781.1",52719001,52720000,"*",2.31040541911094e-16,8.96220695913136e-15,56.25
"32210","NC_035781.1",59692501,59693500,"*",2.30623051360566e-221,4.69861504357488e-217,-61.5174394555804
"51450","NC_035782.1",72225501,72226500,"*",2.33528286443287e-18,1.17476668048231e-16,-55.5035128805621
"55827","NC_035783.1",13413501,13414500,"*",6.97900126095743e-28,1.06707073662178e-25,-51.5386252394126
"58963","NC_035783.1",20595001,20596000,"*",2.81409603385729e-42,1.36507582195901e-39,-60.9126984126984
"59029","NC_035783.1",20710001,20711000,"*",2.8206364209303e-69,4.78886963006352e-66,62.4563046532141
"61325","NC_035783.1",30386501,30387500,"*",5.33821756071255e-19,2.9275518956367e-17,50.9605911330049
"61639","NC_035783.1",31084001,31085000,"*",7.99756696928501e-28,1.21823548510849e-25,-52.7954087327369
"72426","NC_035784.1",9105501,9106500,"*",1.46079534050473e-69,2.53290358794319e-66,-68.2089274065791
"77760","NC_035784.1",33858501,33859500,"*",9.12783176420345e-19,4.84919232986296e-17,65.4975845410628
"134472","NC_035788.1",74813001,74814000,"*",1.58518967047644e-08,1.52916542782054e-07,51.0492332526231
"134674","NC_035788.1",76582501,76583500,"*",3.05221911040331e-25,3.57896989118125e-23,-59.384236453202
"138366","NC_035789.1",1136501,1137500,"*",1.14603825453819e-08,1.14050025213538e-07,53.1653746770026
